PLU,Food,Specific Food,Pantry,Fridge,Freezer
4100,apples,Small Fireside Apples,6,30,330
4101,apples,Small Braeburn Apples,6,30,330
4102,apples,Large Fireside Apples,6,30,330
4103,apples,Large Braeburn Apples,6,30,330
4104,apples,Small Cortland Apples,6,30,330
4105,apples,Cox Orange Pippin Apples,6,30,330
4106,apples,Large Cortland Apples,6,30,330
4107,apples,Crab Apples,6,30,330
4108,apples,Small Crispin/Mutsu Apples,6,30,330
4109,apples,Small Crispin/Mutsu Apples,6,30,330
4110,apples,Large Crispin/Mutsu Apples,6,30,330
4111,apples,Large Crispin/Mutsu Apples,6,30,330
4112,apples,Small Regent Apples,6,30,330
4113,apples,Small Criterion Apples,6,30,330
4114,apples,Large Regent Apples,6,30,330
4115,apples,Large Criterion Apples,6,30,330
4116,apples,Small Early Apples,6,30,330
4117,apples,Small Early Apples,6,30,330
4118,apples,Large Early Apples,6,30,330
4119,apples,Large Early Apples,6,30,330
4120,apples,Fiesta Apples,6,30,330
4121,apples,Small Elstar Apples,6,30,330
4122,apples,Small Sciros Apples,6,30,330
4123,apples,Large Elstar Apples,6,30,330
4124,apples,Small Empire Apples,6,30,330
4125,apples,Small Empire Apples,6,30,330
4126,apples,Large Empire Apples,6,30,330
4127,apples,Large Empire Apples,6,30,330
4128,apples,Small Cripps Pink Apples,6,30,330
4129,apples,Small Fuji Apples,6,30,330
4130,apples,Large Cripps Pink Apples,6,30,330
4131,apples,Large Fuji Apples,6,30,330
4132,apples,Small Gala Apples,6,30,330
4133,apples,Small Gala Apples,6,30,330
4134,apples,Large Gala Apples,6,30,330
4135,apples,Large Gala Apples,6,30,330
4136,apples,Small Golden Delicious Apples,6,30,330
4137,apples,Large Golden Delicious Apples,6,30,330
4138,apples,Small Granny Smith Apples,6,30,330
4139,apples,Small Granny Smith Apples,6,30,330
4140,apples,Small Idared Apples,6,30,330
4141,apples,Small Jonamac Apples,6,30,330
4142,apples,Large Idared Apples,6,30,330
4143,apples,Large Jonamac Apples,6,30,330
4144,apples,Small Jonagold Apples,6,30,330
4145,apples,Small Jonagold Apples,6,30,330
4146,apples,Large Jonagold Apples,6,30,330
4147,apples,Large Jonagold Apples,6,30,330
4148,apples,Small Jonathan Apples,6,30,330
4149,apples,Small Jonathan Apples,6,30,330
4150,apples,Large Jonathan Apples,6,30,330
4151,apples,Large Jonathan Apples,6,30,330
4152,apples,Small Mcintosh Apples,6,30,330
4153,apples,Small Mcintosh Apples,6,30,330
4154,apples,Large Mcintosh Apples,6,30,330
4155,apples,Small Paulared Apples,6,30,330
4156,apples,Small Gravenstein Apples,6,30,330
4157,apples,Large Paulared Apples,6,30,330
4158,apples,Large Gravenstein Apples,6,30,330
4160,apples,Small Pippin Apples,6,30,330
4162,apples,Large Pippin Apples,6,30,330
4167,apples,Small Red Delicious Apples,6,30,330
4168,apples,Large Red Delicious Apples,6,30,330
4169,apples,Small Rome Apples,6,30,330
4170,apples,Small Rome Apples,6,30,330
4171,apples,Large Rome Apples,6,30,330
4172,apples,Large Rome Apples,6,30,330
4173,apples,Small Royal Gala Apples,6,30,330
4174,apples,Large Royal Gala Apples,6,30,330
4176,apples,Southern Snap Apples,6,30,330
4177,apples,Small Spartan Apples,6,30,330
4178,apples,Small Spartan Apples,6,30,330
4179,apples,Large Spartan Apples,6,30,330
4180,apples,Large Spartan Apples,6,30,330
4181,apples,Small Stayman Apples,6,30,330
4182,apples,Sturmer Pippin Apples,6,30,330
4183,apples,Large Stayman Apples,6,30,330
4185,apples,Small York Apples,6,30,330
4187,apples,Large York Apples,6,30,330
4189,apples,Small Winesap Apples,6,30,330
4190,apples,Small Winesap Apples,6,30,330
4191,apples,Large Winesap Apples,6,30,330
4192,apples,Large Winesap Apples,6,30,330
4193,apples,Retailer Assigned Apples,6,30,330
4194,apples,Retailer Assigned Apples,6,30,330
4195,apples,Retailer Assigned Apples,6,30,330
4196,apples,Retailer Assigned Apples,6,30,330
4197,apples,Retailer Assigned Apples,6,30,330
4198,apples,Retailer Assigned Apples,6,30,330
4199,apples,Retailer Assigned Apples,6,30,330
4200,apples,Retailer Assigned Apples,6,30,330
4201,apples,Retailer Assigned Apples,6,30,330
4202,apples,Retailer Assigned Apples,6,30,330
4203,apples,Retailer Assigned Apples,6,30,330
4204,apples,Retailer Assigned Apples,6,30,330
4205,apples,Retailer Assigned Apples,6,30,330
4206,apples,Retailer Assigned Apples,6,30,330
4207,apples,Retailer Assigned Apples,6,30,330
4208,apples,Retailer Assigned Apples,6,30,330
4209,apples,Retailer Assigned Apples,6,30,330
4210,apples,Retailer Assigned Apples,6,30,330
4211,apples,Retailer Assigned Apples,6,30,330
4212,apples,Retailer Assigned Apples,6,30,330
4213,apples,Retailer Assigned Apples,6,30,330
4214,apples,Retailer Assigned Apples,6,30,330
4215,apples,Retailer Assigned Apples,6,30,330
4216,apples,Retailer Assigned Apples,6,30,330
4217,apples,Retailer Assigned Apples,6,30,330
3044,apricots,Black Velvet Apricots,2,4,330
3302,apricots,Large Regular Apricots,2,4,330
3422,apricots,Interspecific Apricots,2,4,330
3614,apricots,Red Apricots,2,4,330
4218,apricots,Small Regular Apricots,2,4,330
4219,apricots,Retailer Assigned Apricots,2,4,330
4861,apricots,Dried Apricots,2,4,330
3390,arracach,Arracach,,,
3391,artichokes,Rouge Salambo (Red) Artichokes,nan,6, 360
4084,artichokes,Large Artichokes,nan,6, 360
4516,artichokes,Small Artichokes,nan,6, 360
4517,artichokes,Small Purple Artichokes,nan,6, 360
4518,artichokes,Large Purple Artichokes,nan,6, 360
4519,artichokes,Baby/Cocktail Artichokes,nan,6, 360
4520,artichokes,Retailer Assigned Artichokes,nan,6, 360
4762,artichokes,Extra-Large Artichokes,nan,6, 360
4884,arugula/rocket,Arugula/Rocket,,,
3079,asparagus,Purple Asparagus,nan,3,450
3392,asparagus,Green - Bunch Asparagus,nan,3,450
3393,asparagus,White - Bunch Asparagus,nan,3,450
3394,asparagus,Purple - Bunch Asparagus,nan,3,450
4080,asparagus,Small Green Asparagus,nan,3,450
4521,asparagus,Large Green Asparagus,nan,3,450
4522,asparagus,Small White Asparagus,nan,3,450
4523,asparagus,Large White Asparagus,nan,3,450
4524,asparagus,Tips Asparagus,nan,3,450
4525,asparagus,Retailer Assigned Asparagus,nan,3,450
4526,asparagus,Retailer Assigned Asparagus,nan,3,450
4220,atemoyas,Atemoyas,,,
3080,avocados,Pinkerton Avocados,5,4,120
3354,avocados,Ripe/Ready-To-Eat Avocados,5,4,120
3509,avocados,Gem Avocados,5,4,120
4046,avocados,Small Hass Avocados,5,4,120
4221,avocados,Small Green Avocados,5,4,120
4222,avocados,Small Green Avocados,5,4,120
4223,avocados,Large Green Avocados,5,4,120
4224,avocados,Large Green Avocados,5,4,120
4225,avocados,Large Hass Avocados,5,4,120
4226,avocados,Cocktail/Seedless Avocados,5,4,120
4227,avocados,Retailer Assigned Avocados,5,4,120
4228,avocados,Retailer Assigned Avocados,5,4,120
4770,avocados,Hass Avocados,5,4,120
4771,avocados,Medium Green Avocados,5,4,120
3303,babaco,Babaco,,,
3287,bananas,Hawaiian Plantain Bananas,3,6,60
4011,bananas,Yellow (Includes Cavendish) Bananas,3,6,60
4186,bananas,Small Yellow (Includes Cavendish) Bananas,3,6,60
4229,bananas,Burro Bananas,3,6,60
4230,bananas,Dominique Bananas,3,6,60
4231,bananas,Green Bananas,3,6,60
4232,bananas,Leaves Bananas,3,6,60
4233,bananas,Apple/Manzano Bananas,3,6,60
4234,bananas,Baby/Nino Bananas,3,6,60
4235,bananas,Plantain/Macho Bananas,3,6,60
4236,bananas,Red Bananas,3,6,60
4237,bananas,Retailer Assigned Bananas,3,6,60
4238,bananas,Retailer Assigned Bananas,3,6,60
4885,basil,Basil,,,
4886,basil,Opal Basil,,,
4887,basil,Sweet Basil,,,
3062,bay leaves,Bay Leaves,,,
4536,bean sprouts,Mung Bean Sprouts Bean Sprouts,,,
3048,beans,Helda/Flat Beans,nan,6,450
3049,beans,Fine Beans,nan,6,450
4066,beans,Green/French Beans,nan,6,450
4527,beans,Chinese Long/Snake Beans,nan,6,450
4528,beans,Fava/Broad Beans,nan,6,450
4529,beans,Lima Beans,nan,6,450
4530,beans,Pole/Runner/Stick Beans,nan,6,450
4531,beans,Purple Hull Beans,nan,6,450
4532,beans,Shell Beans,nan,6,450
4533,beans,Wax/Yellow Beans,nan,6,450
4534,beans,Winged Beans,nan,6,450
4535,beans,Retailer Assigned Beans,nan,6,450
4542,beet greens,Beet Greens,,,
3273,beets,Golden Beets,nan,14,450
4537,beets,Baby Golden Beets,nan,14,450
4538,beets,Baby Red Beets,nan,14,450
4539,beets,Bunch Beets,nan,14,450
4540,beets,Loose Beets,nan,14,450
4541,beets,Retailer Assigned Beets,nan,14,450
3395,belgian endive (witloof chicory),Red Belgian Endive (Witloof Chicory),,,
4543,belgian endive (witloof chicory),Belgian Endive (Witloof Chicory),,,
3081,berries,Saskatoon Berries,nan,7,360
3304,berries,Loganberries Berries,nan,7,360
3355,berries,Strawberries - Nominal 500G/1 Litre Berries,nan,7,360
3356,berries,Strawberries - Nominal250G/1/2 Litre Berries,nan,7,360
4028,berries,Pint Strawberries Berries,nan,7,360
4054,berries,Raspberries - Red Berries,nan,7,360
4239,berries,Blackberries Berries,nan,7,360
4240,berries,Blueberries Berries,nan,7,360
4241,berries,Boysenberries Berries,nan,7,360
4242,berries,Cranberries Berries,nan,7,360
4243,berries,Gooseberries Berries,nan,7,360
4244,berries,Raspberries - Black Berries,nan,7,360
4245,berries,Raspberries - Golden Berries,nan,7,360
4246,berries,Pint Strawberries Berries,nan,7,360
4247,berries,Quart Strawberries Berries,nan,7,360
4248,berries,Quart Strawberries Berries,nan,7,360
4249,berries,Bulk 3-pack (3 pints) Strawberries Berries,nan,7,360
4250,berries,Bulk 3-pack (3 pints) Strawberries Berries,nan,7,360
4251,berries,Long-Stemmed Strawberries Berries,nan,7,360
4252,berries,Retailer Assigned Berries,nan,7,360
4253,berries,Retailer Assigned Berries,nan,7,360
4323,berries,Bulk Strawberries Berries,nan,7,360
4783,"bitter melon/bitter gourd, foo qua","Foo Qua Bitter Melon/Bitter Gourd, Foo Qua",,,
3163,bok choy (pak choi),Shanghai Bok Choy (Pak Choi),,,
4544,bok choy (pak choi),Small/Baby Bok Choy (Pak Choi),,,
4545,bok choy (pak choi),Bok Choy (Pak Choi),,,
4546,boniato,See Also Sweet Potato Boniato,,,
3419,borage,Borage,,,
4926,brazilnuts,Brazilnuts,,,
4254,breadfruit,Breadfruit,,,
3082,broccoli,Crowns Broccoli,nan,4,450
3277,broccoli,Baby Broccoli,nan,4,450
4060,broccoli,Broccoli,nan,4,450
4547,broccoli,Broccoli Rabe (Italian Rapini)/ Chinese Broccoli (Gai Lan) Broccoli,nan,4,450
4548,broccoli,Florettes Broccoli,nan,4,450
4549,broccoli,Retailer Assigned Broccoli,nan,4,450
3083,brussels sprouts,Stalk Brussels Sprouts,,,
4550,brussels sprouts,Brussels Sprouts,,,
4551,brussels sprouts,Retailer Assigned Brussels Sprouts,,,
3050,cabbage,Dutch White/Winter White Cabbage,nan,30,450
3051,cabbage,Spring Cabbage/Spring Greens Cabbage,nan,30,450
3166,cabbage,Tuscan Cabbage,nan,30,450
3396,cabbage,"Savoy, Red Cabbage",nan,30,450
3397,cabbage,Summer Cabbage - Pointed Type Cabbage,nan,30,450
4069,cabbage,Green Cabbage,nan,30,450
4552,cabbage,Chinese/Napa/Wong Bok Cabbage,nan,30,450
4554,cabbage,Red Cabbage,nan,30,450
4555,cabbage,"Savoy, Green Cabbage",nan,30,450
4556,cabbage,Retailer Assigned Cabbage,nan,30,450
4557,cabbage,Retailer Assigned Cabbage,nan,30,450
3471,cactus leaves (nopales/cactus pads),Baby Cactus Leaves (Nopales/Cactus Pads),nan,10,nan
4558,cactus leaves (nopales/cactus pads),Cactus Leaves (Nopales/Cactus Pads),nan,10,nan
4255,cactus pear (prickly pear),Cactus Pear (Prickly Pear),3,2,330
4256,carambola (starfruit),Carambola (Starfruit),3,6,330
4559,cardoon (cardoni),Cardoon (Cardoni),,,
3424,carrots,Purple/Red - Beta Sweet Carrots,nan,14,450
4094,carrots,Bunch Carrots,nan,14,450
4560,carrots,Baby Carrots,nan,14,450
4561,carrots,French Carrots,nan,14,450
4562,carrots,Loose Carrots,nan,14,450
4563,carrots,Carrot Sticks Carrots,nan,14,450
4564,carrots,Retailer Assigned Carrots,nan,14,450
4565,carrots,Retailer Assigned Carrots,nan,14,450
3105,cashews,Cashews,,,
3320,cauliflower,Romanesco/Broccoflower/Caulibroc Cauliflower,nan,7,450
3436,cauliflower,Orange Cauliflower,nan,7,450
4079,cauliflower,Small Cauliflower,nan,7,450
4566,cauliflower,Florettes Cauliflower,nan,7,450
4567,cauliflower,Green Cauliflower,nan,7,450
4568,cauliflower,Purple Cauliflower,nan,7,450
4569,cauliflower,Retailer Assigned Cauliflower,nan,7,450
4570,cauliflower,Retailer Assigned Cauliflower,nan,7,450
4571,cauliflower,Retailer Assigned Cauliflower,nan,7,450
4572,cauliflower,Large Cauliflower,nan,7,450
4573,cauliflower,Baby Cauliflower,nan,7,450
4070,celery,Small Bunch Celery,nan,7,450
4071,celery,Small Bunch Celery,nan,7,450
4575,celery,Hearts Celery,nan,7,450
4576,celery,Celery Sticks Celery,nan,7,450
4577,celery,Retailer Assigned Celery,nan,7,450
4578,celery,Retailer Assigned Celery,nan,7,450
4579,celery,Retailer Assigned Celery,nan,7,450
4580,celery,Retailer Assigned Celery,nan,7,450
4581,celery,Retailer Assigned Celery,nan,7,450
4582,celery,Large Bunch Celery,nan,7,450
4583,celery,Large Bunch Celery,nan,7,450
3321,celery root/celeriac,With Leaves Attached Celery Root/Celeriac,,,
4585,celery root/celeriac,Celery Root/Celeriac,,,
4586,chard (swiss chard)/silverbeet,Green Chard (Swiss Chard)/Silverbeet,,,
4587,chard (swiss chard)/silverbeet,Red Chard (Swiss Chard)/Silverbeet,,,
4588,chard (swiss chard)/silverbeet,Retailer Assigned Chard (Swiss Chard)/Silverbeet,,,
4257,cherimoya,Cherimoya,3,1,330
3357,cherries,Small Regular/Red/Black Cherries,nan,7,330
3358,cherries,Large Regular/Red/Black Cherries,nan,7,330
3448,cherries,Tip Top Cherries,nan,7,330
4045,cherries,Regular/Red/Black Cherries,nan,7,330
4258,cherries,Golden/Rainier/White Cherries,nan,7,330
4259,cherries,Retailer Assigned Cherries,nan,7,330
3084,chervil,Chervil,,,
4927,chestnuts,Chestnuts,,,
3398,chickpeas,Chickpeas/Garbanzo Chickpeas,,,
3479,chipilin leaf,Chipilin Leaf,,,
3462,chives,Garlic/Chinese Chives,,,
4888,chives,Chives,,,
3322,choy sum/pak choi sum,Choy Sum/Pak Choi Sum,,,
3323,choy sum/pak choi sum,Baby Choy Sum/Pak Choi Sum,,,
4889,cilantro (chinese parsley/coriander),Cilantro (Chinese Parsley/Coriander),,,
4260,coconuts,In Husk/Waternut Coconuts,,,
4261,coconuts,Husked Coconuts,,,
4262,coconuts,Retailer Assigned Coconuts,,,
3085,corn,"Large Indian, Decorative Corn",nan,2,240
3086,corn,Mini Indian. Decorative Corn,nan,2,240
3087,corn,"Indian, Strawberry Corn",nan,2,240
4077,corn,"Sweet Corn, White Corn",nan,2,240
4078,corn,"Sweet Corn, Yellow Corn",nan,2,240
4589,corn,"Sweet Corn, Baby Corn",nan,2,240
4590,corn,"Sweet Corn, Bi-Color Corn",nan,2,240
4591,corn,Retailer Assigned Corn,nan,2,240
4062,cucumber,Green/Ridge/Short Cucumber,nan,7,nan
4592,cucumber,Armenian Cucumber,nan,7,nan
4593,cucumber,English/Hot House/Long Seedless/Telegraph/Continental Cucumber,nan,7,nan
4594,cucumber,Japanese/White Cucumber,nan,7,nan
4595,cucumber,Lemon Cucumber,nan,7,nan
4596,cucumber,Pickling/Gherkin Cucumber,nan,7,nan
4597,cucumber,Retailer Assigned Cucumber,nan,7,nan
3088,currants,Red Currants,,,
3305,currants,Black Currants,,,
4598,daikon,(See Also Radish) Daikon,,,
3045,dates,"Fresh, On Branch Dates",60, 360,720
3046,dates,"Fresh, Frozen Dates",60, 360,720
3047,dates,Medjool Dates,60, 360,720
4263,dates,Fresh - Regular Dates,60, 360,720
4264,dates,Fresh - Retailer Assigned Dates,60, 360,720
4862,dates,Dried Dates,60, 360,720
4863,dates,Retailer Assigned - Dried Dates,60, 360,720
4891,dill,Dill,,,
4892,dill,Baby Dill,,,
4893,dill,Pickling Dill,,,
3089,eggplant (aubergine),Chinese Eggplant (Aubergine),,,
3090,eggplant (aubergine),Thai Eggplant (Aubergine),,,
4081,eggplant (aubergine),Regular Eggplant (Aubergine),,,
4599,eggplant (aubergine),Baby Eggplant (Aubergine),,,
4600,eggplant (aubergine),Baby White Eggplant (Aubergine),,,
4601,eggplant (aubergine),Japanese Eggplant (Aubergine),,,
4602,eggplant (aubergine),White Eggplant (Aubergine),,,
4603,eggplant (aubergine),Retailer Assigned Eggplant (Aubergine),,,
4604,endive/chicory,Endive/Chicory,,,
3473,epazote,Epazote,,,
3324,escarole/batavian chicory,Red Escarole/Batavian Chicory,,,
4605,escarole/batavian chicory,Green Escarole/Batavian Chicory,,,
4265,feijoa,Feijoa,2,1,330
4515,fennel,Florence/Sweet Fennel/Fennel Bulb Fennel,nan,8,330
3063,fennel leaves,Fennel Leaves,,,
4606,fiddlehead ferns,Fiddlehead Ferns,,,
3337,figs,(Dried Fruit) Figs,nan,1,330
4266,figs,Black Figs,nan,1,330
4267,figs,Brown Figs,nan,1,330
4268,figs,White/Green Figs,nan,1,330
4269,figs,Retailer Assigned Figs,nan,1,330
4928,filberts,Cobnut/Hazelnut Filberts,,,
3170,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3171,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3172,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3173,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3174,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3175,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3176,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3177,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3178,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3179,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3180,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3181,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3182,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3183,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3184,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3185,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3186,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3187,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3188,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3189,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3190,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3191,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3192,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3193,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3194,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3195,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3196,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3197,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3198,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3199,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3200,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3201,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3202,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3203,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3204,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3205,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3206,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3207,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3208,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3209,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3210,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3211,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3212,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3213,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3214,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3215,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3216,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3217,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3218,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3219,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3220,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3221,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3222,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3223,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3224,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3225,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3226,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
3227,for use with all commodities,Retailer Assigned For Use With All Commodities,,,
