PLU,Food,Name
4139,Apples,Small Granny Smith Apples
4140,Apples,Small Idared Apples
4141,Apples,Small Jonamac Apples
4142,Apples,Large Idared Apples
4143,Apples,Large Jonamac Apples
4144,Apples,Small Jonagold Apples
4145,Apples,Small Jonagold Apples
4146,Apples,Large Jonagold Apples
4147,Apples,Large Jonagold Apples
4148,Apples,Small Jonathan Apples
4149,Apples,Small Jonathan Apples
4150,Apples,Large Jonathan Apples
4151,Apples,Large Jonathan Apples
4152,Apples,Small Mcintosh Apples
4153,Apples,Small Mcintosh Apples
4154,Apples,Large Mcintosh Apples
4155,Apples,Small Paulared Apples
4156,Apples,Small Gravenstein Apples
4157,Apples,Large Paulared Apples
4158,Apples,Large Gravenstein Apples
4160,Apples,Small Pippin Apples
4162,Apples,Large Pippin Apples
4167,Apples,Small Red Delicious Apples
4168,Apples,Large Red Delicious Apples
4169,Apples,Small Rome Apples
4170,Apples,Small Rome Apples
4171,Apples,Large Rome Apples
4172,Apples,Large Rome Apples
4173,Apples,Small Royal Gala Apples
4174,Apples,Large Royal Gala Apples
4176,Apples,Southern Snap Apples
4177,Apples,Small Spartan Apples
4178,Apples,Small Spartan Apples
4179,Apples,Large Spartan Apples
4180,Apples,Large Spartan Apples
4181,Apples,Small Stayman Apples
4182,Apples,Sturmer Pippin Apples
4183,Apples,Large Stayman Apples
4185,Apples,Small York Apples
4187,Apples,Large York Apples
4189,Apples,Small Winesap Apples
4190,Apples,Small Winesap Apples
4191,Apples,Large Winesap Apples
4192,Apples,Large Winesap Apples
4193,Apples,Retailer Assigned Apples
4194,Apples,Retailer Assigned Apples
4195,Apples,Retailer Assigned Apples
4196,Apples,Retailer Assigned Apples
4197,Apples,Retailer Assigned Apples
4198,Apples,Retailer Assigned Apples
4199,Apples,Retailer Assigned Apples
4200,Apples,Retailer Assigned Apples
4201,Apples,Retailer Assigned Apples
4202,Apples,Retailer Assigned Apples
4203,Apples,Retailer Assigned Apples
4204,Apples,Retailer Assigned Apples
4205,Apples,Retailer Assigned Apples
4206,Apples,Retailer Assigned Apples
4207,Apples,Retailer Assigned Apples
4208,Apples,Retailer Assigned Apples
4209,Apples,Retailer Assigned Apples
4210,Apples,Retailer Assigned Apples
4211,Apples,Retailer Assigned Apples
4212,Apples,Retailer Assigned Apples
4213,Apples,Retailer Assigned Apples
4214,Apples,Retailer Assigned Apples
4215,Apples,Retailer Assigned Apples
4216,Apples,Retailer Assigned Apples
4217,Apples,Retailer Assigned Apples
3044,Apricots,Black Velvet Apricots
3302,Apricots,Large Regular Apricots
3422,Apricots,Interspecific Apricots
3614,Apricots,Red Apricots
4218,Apricots,Small Regular Apricots
4219,Apricots,Retailer Assigned Apricots
4861,Apricots,Dried Apricots
3390,Arracach,Arracach
3391,Artichokes,Rouge Salambo (Red) Artichokes
4084,Artichokes,Large Artichokes
4516,Artichokes,Small Artichokes
4517,Artichokes,Small Purple Artichokes
4518,Artichokes,Large Purple Artichokes
4519,Artichokes,Baby/Cocktail Artichokes
4520,Artichokes,Retailer Assigned Artichokes
4762,Artichokes,Extra-Large Artichokes
4884,Arugula/Rocket,Arugula/Rocket
3079,Asparagus,Purple Asparagus
3392,Asparagus,Green - Bunch Asparagus
3393,Asparagus,White - Bunch Asparagus
3394,Asparagus,Purple - Bunch Asparagus
4080,Asparagus,Small Green Asparagus
4521,Asparagus,Large Green Asparagus
4522,Asparagus,Small White Asparagus
4523,Asparagus,Large White Asparagus
4524,Asparagus,Tips Asparagus
4525,Asparagus,Retailer Assigned Asparagus
4526,Asparagus,Retailer Assigned Asparagus
4220,Atemoyas,Atemoyas
3080,Avocados,Pinkerton Avocados
3354,Avocados,Ripe/Ready-To-Eat Avocados
3509,Avocados,Gem Avocados
4046,Avocados,Small Hass Avocados
4221,Avocados,Small Green Avocados
4222,Avocados,Small Green Avocados
4223,Avocados,Large Green Avocados
4224,Avocados,Large Green Avocados
4225,Avocados,Large Hass Avocados
4226,Avocados,Cocktail/Seedless Avocados
4227,Avocados,Retailer Assigned Avocados
4228,Avocados,Retailer Assigned Avocados
4770,Avocados,Hass Avocados
4771,Avocados,Medium Green Avocados
3303,Babaco,Babaco
3287,Bananas,Hawaiian Plantain Bananas
4011,Bananas,Yellow (Includes Cavendish) Bananas
4186,Bananas,Small Yellow (Includes Cavendish) Bananas
4229,Bananas,Burro Bananas
4230,Bananas,Dominique Bananas
4231,Bananas,Green Bananas
4232,Bananas,Leaves Bananas
4233,Bananas,Apple/Manzano Bananas
4234,Bananas,Baby/Nino Bananas
4235,Bananas,Plantain/Macho Bananas
4236,Bananas,Red Bananas
4237,Bananas,Retailer Assigned Bananas
4238,Bananas,Retailer Assigned Bananas
4885,Basil,Basil
4886,Basil,Opal Basil
4887,Basil,Sweet Basil
3062,Bay Leaves,Bay Leaves
4536,Bean Sprouts,Mung Bean Sprouts Bean Sprouts
3048,Beans,Helda/Flat Beans
3049,Beans,Fine Beans
4066,Beans,Green/French Beans
4527,Beans,Chinese Long/Snake Beans
4528,Beans,Fava/Broad Beans
4529,Beans,Lima Beans
4530,Beans,Pole/Runner/Stick Beans
4531,Beans,Purple Hull Beans
4532,Beans,Shell Beans
4533,Beans,Wax/Yellow Beans
4534,Beans,Winged Beans
4535,Beans,Retailer Assigned Beans
4542,Beet Greens,Beet Greens
3273,Beets,Golden Beets
4537,Beets,Baby Golden Beets
4538,Beets,Baby Red Beets
4539,Beets,Bunch Beets
4540,Beets,Loose Beets
4541,Beets,Retailer Assigned Beets
3395,Belgian Endive (Witloof Chicory),Red Belgian Endive (Witloof Chicory)
4543,Belgian Endive (Witloof Chicory),Belgian Endive (Witloof Chicory)
3081,Berries,Saskatoon Berries
3304,Berries,Loganberries Berries
3355,Berries,Strawberries - Nominal 500G/1 Litre Berries
3356,Berries,Strawberries - Nominal250G/1/2 Litre Berries
4028,Berries,Pint Strawberries Berries
4054,Berries,Raspberries - Red Berries
4239,Berries,Blackberries Berries
4240,Berries,Blueberries Berries
4241,Berries,Boysenberries Berries
4242,Berries,Cranberries Berries
4243,Berries,Gooseberries Berries
4244,Berries,Raspberries - Black Berries
4245,Berries,Raspberries - Golden Berries
4246,Berries,Pint Strawberries Berries
4247,Berries,Quart Strawberries Berries
4248,Berries,Quart Strawberries Berries
4249,Berries,Bulk 3-pack (3 pints) Strawberries Berries
4250,Berries,Bulk 3-pack (3 pints) Strawberries Berries
4251,Berries,Long-Stemmed Strawberries Berries
4252,Berries,Retailer Assigned Berries
4253,Berries,Retailer Assigned Berries
4323,Berries,Bulk Strawberries Berries
4783,"Bitter Melon/Bitter Gourd, Foo Qua","Foo Qua Bitter Melon/Bitter Gourd, Foo Qua"
3163,Bok Choy (Pak Choi),Shanghai Bok Choy (Pak Choi)
4544,Bok Choy (Pak Choi),Small/Baby Bok Choy (Pak Choi)
4545,Bok Choy (Pak Choi),Bok Choy (Pak Choi)
4546,Boniato,See Also Sweet Potato Boniato
3419,Borage,Borage
4926,Brazilnuts,Brazilnuts
4254,Breadfruit,Breadfruit
3082,Broccoli,Crowns Broccoli
3277,Broccoli,Baby Broccoli
4060,Broccoli,Broccoli
4547,Broccoli,Broccoli Rabe (Italian Rapini)/ Chinese Broccoli (Gai Lan) Broccoli
4548,Broccoli,Florettes Broccoli
4549,Broccoli,Retailer Assigned Broccoli
3083,Brussels Sprouts,Stalk Brussels Sprouts
4550,Brussels Sprouts,Brussels Sprouts
4551,Brussels Sprouts,Retailer Assigned Brussels Sprouts
3050,Cabbage,Dutch White/Winter White Cabbage
3051,Cabbage,Spring Cabbage/Spring Greens Cabbage
3166,Cabbage,Tuscan Cabbage
3396,Cabbage,"Savoy, Red Cabbage"
3397,Cabbage,Summer Cabbage - Pointed Type Cabbage
4069,Cabbage,Green Cabbage
4552,Cabbage,Chinese/Napa/Wong Bok Cabbage
4554,Cabbage,Red Cabbage
4555,Cabbage,"Savoy, Green Cabbage"
4556,Cabbage,Retailer Assigned Cabbage
4557,Cabbage,Retailer Assigned Cabbage
3471,Cactus Leaves (Nopales/Cactus Pads),Baby Cactus Leaves (Nopales/Cactus Pads)
4558,Cactus Leaves (Nopales/Cactus Pads),Cactus Leaves (Nopales/Cactus Pads)
4255,Cactus Pear (Prickly Pear),Cactus Pear (Prickly Pear)
4256,Carambola (Starfruit),Carambola (Starfruit)
4559,Cardoon (Cardoni),Cardoon (Cardoni)
3424,Carrots,Purple/Red - Beta Sweet Carrots
4094,Carrots,Bunch Carrots
4560,Carrots,Baby Carrots
4561,Carrots,French Carrots
4562,Carrots,Loose Carrots
4563,Carrots,Carrot Sticks Carrots
4564,Carrots,Retailer Assigned Carrots
4565,Carrots,Retailer Assigned Carrots
3105,Cashews,Cashews
3320,Cauliflower,Romanesco/Broccoflower/Caulibroc Cauliflower
3436,Cauliflower,Orange Cauliflower
4079,Cauliflower,Small Cauliflower
4566,Cauliflower,Florettes Cauliflower
4567,Cauliflower,Green Cauliflower
4568,Cauliflower,Purple Cauliflower
4569,Cauliflower,Retailer Assigned Cauliflower
4570,Cauliflower,Retailer Assigned Cauliflower
4571,Cauliflower,Retailer Assigned Cauliflower
4572,Cauliflower,Large Cauliflower
4573,Cauliflower,Baby Cauliflower
4070,Celery,Small Bunch Celery
4071,Celery,Small Bunch Celery
4575,Celery,Hearts Celery
4576,Celery,Celery Sticks Celery
4577,Celery,Retailer Assigned Celery
4578,Celery,Retailer Assigned Celery
4579,Celery,Retailer Assigned Celery
4580,Celery,Retailer Assigned Celery
4581,Celery,Retailer Assigned Celery
4582,Celery,Large Bunch Celery
4583,Celery,Large Bunch Celery
3321,Celery Root/Celeriac,With Leaves Attached Celery Root/Celeriac
4585,Celery Root/Celeriac,Celery Root/Celeriac
4586,Chard (Swiss Chard)/Silverbeet,Green Chard (Swiss Chard)/Silverbeet
4587,Chard (Swiss Chard)/Silverbeet,Red Chard (Swiss Chard)/Silverbeet
4588,Chard (Swiss Chard)/Silverbeet,Retailer Assigned Chard (Swiss Chard)/Silverbeet
4257,Cherimoya,Cherimoya
3357,Cherries,Small Regular/Red/Black Cherries
3358,Cherries,Large Regular/Red/Black Cherries
3448,Cherries,Tip Top Cherries
4045,Cherries,Regular/Red/Black Cherries
4258,Cherries,Golden/Rainier/White Cherries
4259,Cherries,Retailer Assigned Cherries
3084,Chervil,Chervil
4927,Chestnuts,Chestnuts
3398,Chickpeas,Chickpeas/Garbanzo Chickpeas
3479,Chipilin Leaf,Chipilin Leaf
3462,Chives,Garlic/Chinese Chives
4888,Chives,Chives
3322,Choy Sum/Pak Choi Sum,Choy Sum/Pak Choi Sum
3323,Choy Sum/Pak Choi Sum,Baby Choy Sum/Pak Choi Sum
4889,Cilantro (Chinese Parsley/Coriander),Cilantro (Chinese Parsley/Coriander)
4260,Coconuts,In Husk/Waternut Coconuts
4261,Coconuts,Husked Coconuts
4262,Coconuts,Retailer Assigned Coconuts
3085,Corn,"Large Indian, Decorative Corn"
3086,Corn,Mini Indian. Decorative Corn
3087,Corn,"Indian, Strawberry Corn"
4077,Corn,"Sweet Corn, White Corn"
4078,Corn,"Sweet Corn, Yellow Corn"
4589,Corn,"Sweet Corn, Baby Corn"
4590,Corn,"Sweet Corn, Bi-Color Corn"
4591,Corn,Retailer Assigned Corn
4062,Cucumber,Green/Ridge/Short Cucumber
4592,Cucumber,Armenian Cucumber
4593,Cucumber,English/Hot House/Long Seedless/Telegraph/Continental Cucumber
4594,Cucumber,Japanese/White Cucumber
4595,Cucumber,Lemon Cucumber
4596,Cucumber,Pickling/Gherkin Cucumber
4597,Cucumber,Retailer Assigned Cucumber
3088,Currants,Red Currants
3305,Currants,Black Currants
4598,Daikon,(See Also Radish) Daikon
3045,Dates,"Fresh, On Branch Dates"
3046,Dates,"Fresh, Frozen Dates"
3047,Dates,Medjool Dates
4263,Dates,Fresh - Regular Dates
4264,Dates,Fresh - Retailer Assigned Dates
4862,Dates,Dried Dates
4863,Dates,Retailer Assigned - Dried Dates
4891,Dill,Dill
4892,Dill,Baby Dill
4893,Dill,Pickling Dill
3089,Eggplant (Aubergine),Chinese Eggplant (Aubergine)
3090,Eggplant (Aubergine),Thai Eggplant (Aubergine)
4081,Eggplant (Aubergine),Regular Eggplant (Aubergine)
4599,Eggplant (Aubergine),Baby Eggplant (Aubergine)
4600,Eggplant (Aubergine),Baby White Eggplant (Aubergine)
4601,Eggplant (Aubergine),Japanese Eggplant (Aubergine)
4602,Eggplant (Aubergine),White Eggplant (Aubergine)
4603,Eggplant (Aubergine),Retailer Assigned Eggplant (Aubergine)
4604,Endive/Chicory,Endive/Chicory
3473,Epazote,Epazote
3324,Escarole/Batavian Chicory,Red Escarole/Batavian Chicory
4605,Escarole/Batavian Chicory,Green Escarole/Batavian Chicory
4265,Feijoa,Feijoa
4515,Fennel,Florence/Sweet Fennel/Fennel Bulb Fennel
3063,Fennel Leaves,Fennel Leaves
4606,Fiddlehead Ferns,Fiddlehead Ferns
3337,Figs,(Dried Fruit) Figs
4266,Figs,Black Figs
4267,Figs,Brown Figs
4268,Figs,White/Green Figs
4269,Figs,Retailer Assigned Figs
4928,Filberts,Cobnut/Hazelnut Filberts
3170,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3171,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3172,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3173,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3174,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3175,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3176,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3177,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3178,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3179,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3180,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3181,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3182,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3183,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3184,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3185,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3186,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3187,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3188,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3189,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3190,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3191,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3192,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3193,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3194,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3195,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3196,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3197,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3198,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3199,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3200,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3201,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3202,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3203,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3204,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3205,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3206,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3207,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3208,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3209,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3210,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3211,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3212,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3213,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3214,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3215,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3216,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3217,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3218,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3219,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3220,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3221,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3222,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3223,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3224,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3225,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3226,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3227,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3228,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3229,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3230,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3231,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3232,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3233,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3234,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3235,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3236,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3237,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3238,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3239,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3240,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3241,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3242,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3243,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3244,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3245,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3246,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3247,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3248,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3249,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3250,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3251,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3252,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3253,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3254,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3255,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3256,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3257,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3258,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3259,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3260,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3261,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3262,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3263,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3264,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3265,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3266,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3267,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3268,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3269,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3270,For Use With All Commodities,Retailer Assigned For Use With All Commodities
4460,For Use With All Commodities,Retailer Assigned For Use With All Commodities
4461,For Use With All Commodities,Retailer Assigned For Use With All Commodities
4462,For Use With All Commodities,Retailer Assigned For Use With All Commodities
4463,For Use With All Commodities,Retailer Assigned For Use With All Commodities
4464,For Use With All Commodities,Retailer Assigned For Use With All Commodities
4465,For Use With All Commodities,Retailer Assigned For Use With All Commodities
4466,For Use With All Commodities,Retailer Assigned For Use With All Commodities
4467,For Use With All Commodities,Retailer Assigned For Use With All Commodities
4468,For Use With All Commodities,Retailer Assigned For Use With All Commodities
4469,For Use With All Commodities,Retailer Assigned For Use With All Commodities
3167,Frisee,Frisee
3161,Gai (Gui) Choy (Chinese Or Indian Mustard),Baby - Chinese Or Indian Mustard Gai (Gui) Choy (Chinese Or Indian Mustard)
4607,Gai (Gui) Choy (Chinese Or Indian Mustard),Chinese Or Indian Mustard Gai (Gui) Choy (Chinese Or Indian Mustard)
3160,Gai Lan,Synonymous With Chinese Broccoli Gai Lan
3453,Galangal Root,Galangal Root
3052,Garlic,String Garlic
3399,Garlic,Regular - Fresh/Semi-Dried With Leaves Attached Garlic
3400,Garlic,Regular - Smoked Garlic
3401,Garlic,One-Clove Types Garlic
4608,Garlic,Regular Garlic
4609,Garlic,Elephant Garlic
4610,Garlic,Retailer Assigned Garlic
4611,Garlic,Retailer Assigned Garlic
4612,Ginger Root,Regular Ginger Root
4613,Ginger Root,Retailer Assigned Ginger Root
3091,Gobo Root/Burdock,Gobo Root/Burdock
3135,Gourd,Ornamental Gourd
3092,Grapefruit,Oroblanco/Sweetie Grapefruit
3129,Grapefruit,Pummelo - Red Grapefruit
3152,Grapefruit,Melogold Grapefruit
3157,Grapefruit,Extra-Large White Grapefruit
3158,Grapefruit,Extra-Large White Grapefruit
3159,Grapefruit,Extra-Large White Grapefruit
3361,Grapefruit,Without P/Harvest Treatment Grapefruit
4027,Grapefruit,"Small Ruby/Red/Pink (Includes Ray Ruby, Ruby, Ruby Red) Grapefruit"
