PLU,Name,Pantry,Fridge,Freezer
4123,Large Elstar Apples,6,30,330
4124,Small Empire Apples,6,30,330
4125,Small Empire Apples,6,30,330
4126,Large Empire Apples,6,30,330
4127,Large Empire Apples,6,30,330
4128,Small Cripps Pink Apples,6,30,330
4129,Small Fuji Apples,6,30,330
4130,Large Cripps Pink Apples,6,30,330
4131,Large Fuji Apples,6,30,330
4132,Small Gala Apples,6,30,330
4133,Small Gala Apples,6,30,330
4134,Large Gala Apples,6,30,330
4135,Large Gala Apples,6,30,330
4136,Small Golden Delicious Apples,6,30,330
4137,Large Golden Delicious Apples,6,30,330
4138,Small Granny Smith Apples,6,30,330
4139,Small Granny Smith Apples,6,30,330
4140,Small Idared Apples,6,30,330
4141,Small Jonamac Apples,6,30,330
4142,Large Idared Apples,6,30,330
4143,Large Jonamac Apples,6,30,330
4144,Small Jonagold Apples,6,30,330
4145,Small Jonagold Apples,6,30,330
4146,Large Jonagold Apples,6,30,330
4147,Large Jonagold Apples,6,30,330
4148,Small Jonathan Apples,6,30,330
4149,Small Jonathan Apples,6,30,330
4150,Large Jonathan Apples,6,30,330
4151,Large Jonathan Apples,6,30,330
4152,Small Mcintosh Apples,6,30,330
4153,Small Mcintosh Apples,6,30,330
4154,Large Mcintosh Apples,6,30,330
4155,Small Paulared Apples,6,30,330
4156,Small Gravenstein Apples,6,30,330
4157,Large Paulared Apples,6,30,330
4158,Large Gravenstein Apples,6,30,330
4160,Small Pippin Apples,6,30,330
4162,Large Pippin Apples,6,30,330
4167,Small Red Delicious Apples,6,30,330
4168,Large Red Delicious Apples,6,30,330
4169,Small Rome Apples,6,30,330
4170,Small Rome Apples,6,30,330
4171,Large Rome Apples,6,30,330
4172,Large Rome Apples,6,30,330
4173,Small Royal Gala Apples,6,30,330
4174,Large Royal Gala Apples,6,30,330
4176,Southern Snap Apples,6,30,330
4177,Small Spartan Apples,6,30,330
4178,Small Spartan Apples,6,30,330
4179,Large Spartan Apples,6,30,330
4180,Large Spartan Apples,6,30,330
4181,Small Stayman Apples,6,30,330
4182,Sturmer Pippin Apples,6,30,330
4183,Large Stayman Apples,6,30,330
4185,Small York Apples,6,30,330
4187,Large York Apples,6,30,330
4189,Small Winesap Apples,6,30,330
4190,Small Winesap Apples,6,30,330
4191,Large Winesap Apples,6,30,330
4192,Large Winesap Apples,6,30,330
4193,Retailer Assigned Apples,6,30,330
4194,Retailer Assigned Apples,6,30,330
4195,Retailer Assigned Apples,6,30,330
4196,Retailer Assigned Apples,6,30,330
4197,Retailer Assigned Apples,6,30,330
4198,Retailer Assigned Apples,6,30,330
4199,Retailer Assigned Apples,6,30,330
4200,Retailer Assigned Apples,6,30,330
4201,Retailer Assigned Apples,6,30,330
4202,Retailer Assigned Apples,6,30,330
4203,Retailer Assigned Apples,6,30,330
4204,Retailer Assigned Apples,6,30,330
4205,Retailer Assigned Apples,6,30,330
4206,Retailer Assigned Apples,6,30,330
4207,Retailer Assigned Apples,6,30,330
4208,Retailer Assigned Apples,6,30,330
4209,Retailer Assigned Apples,6,30,330
4210,Retailer Assigned Apples,6,30,330
4211,Retailer Assigned Apples,6,30,330
4212,Retailer Assigned Apples,6,30,330
4213,Retailer Assigned Apples,6,30,330
4214,Retailer Assigned Apples,6,30,330
4215,Retailer Assigned Apples,6,30,330
4216,Retailer Assigned Apples,6,30,330
4217,Retailer Assigned Apples,6,30,330
3044,Black Velvet Apricots,2,4,330
3302,Large Regular Apricots,2,4,330
3422,Interspecific Apricots,2,4,330
3614,Red Apricots,2,4,330
4218,Small Regular Apricots,2,4,330
4219,Retailer Assigned Apricots,2,4,330
4861,Dried Apricots,2,4,330
3390,Arracach,,,
3391,Rouge Salambo (Red) Artichokes,nan,6,360
4084,Large Artichokes,nan,6,360
4516,Small Artichokes,nan,6,360
4517,Small Purple Artichokes,nan,6,360
4518,Large Purple Artichokes,nan,6,360
4519,Baby/Cocktail Artichokes,nan,6,360
4520,Retailer Assigned Artichokes,nan,6,360
4762,Extra-Large Artichokes,nan,6,360
4884,Arugula/Rocket,,,
3079,Purple Asparagus,nan,3,450
3392,Green - Bunch Asparagus,nan,3,450
3393,White - Bunch Asparagus,nan,3,450
3394,Purple - Bunch Asparagus,nan,3,450
4080,Small Green Asparagus,nan,3,450
4521,Large Green Asparagus,nan,3,450
4522,Small White Asparagus,nan,3,450
4523,Large White Asparagus,nan,3,450
4524,Tips Asparagus,nan,3,450
4525,Retailer Assigned Asparagus,nan,3,450
4526,Retailer Assigned Asparagus,nan,3,450
4220,Atemoyas,,,
3080,Pinkerton Avocados,5,4,120
3354,Ripe/Ready-To-Eat Avocados,5,4,120
3509,Gem Avocados,5,4,120
4046,Small Hass Avocados,5,4,120
4221,Small Green Avocados,5,4,120
4222,Small Green Avocados,5,4,120
4223,Large Green Avocados,5,4,120
4224,Large Green Avocados,5,4,120
4225,Large Hass Avocados,5,4,120
4226,Cocktail/Seedless Avocados,5,4,120
4227,Retailer Assigned Avocados,5,4,120
4228,Retailer Assigned Avocados,5,4,120
4770,Hass Avocados,5,4,120
4771,Medium Green Avocados,5,4,120
3303,Babaco,,,
3287,Hawaiian Plantain Bananas,3,6,60
4011,Yellow (Includes Cavendish) Bananas,3,6,60
4186,Small Yellow (Includes Cavendish) Bananas,3,6,60
4229,Burro Bananas,3,6,60
4230,Dominique Bananas,3,6,60
4231,Green Bananas,3,6,60
4232,Leaves Bananas,3,6,60
4233,Apple/Manzano Bananas,3,6,60
4234,Baby/Nino Bananas,3,6,60
4235,Plantain/Macho Bananas,3,6,60
4236,Red Bananas,3,6,60
4237,Retailer Assigned Bananas,3,6,60
4238,Retailer Assigned Bananas,3,6,60
4885,Basil,,,
4886,Opal Basil,,,
4887,Sweet Basil,,,
3062,Bay Leaves,,,
4536,Mung Bean Sprouts Bean Sprouts,,,
3048,Helda/Flat Beans,nan,6,450
3049,Fine Beans,nan,6,450
4066,Green/French Beans,nan,6,450
4527,Chinese Long/Snake Beans,nan,6,450
4528,Fava/Broad Beans,nan,6,450
4529,Lima Beans,nan,6,450
4530,Pole/Runner/Stick Beans,nan,6,450
4531,Purple Hull Beans,nan,6,450
4532,Shell Beans,nan,6,450
4533,Wax/Yellow Beans,nan,6,450
4534,Winged Beans,nan,6,450
4535,Retailer Assigned Beans,nan,6,450
4542,Beet Greens,,,
3273,Golden Beets,nan,14,450
4537,Baby Golden Beets,nan,14,450
4538,Baby Red Beets,nan,14,450
4539,Bunch Beets,nan,14,450
4540,Loose Beets,nan,14,450
4541,Retailer Assigned Beets,nan,14,450
3395,Red Belgian Endive (Witloof Chicory),,,
4543,Belgian Endive (Witloof Chicory),,,
3081,Saskatoon Berries,nan,7,360
3304,Loganberries Berries,nan,7,360
3355,Strawberries - Nominal 500G/1 Litre Berries,nan,7,360
3356,Strawberries - Nominal250G/1/2 Litre Berries,nan,7,360
4028,Pint Strawberries Berries,nan,7,360
4054,Raspberries - Red Berries,nan,7,360
4239,Blackberries Berries,nan,7,360
4240,Blueberries Berries,nan,7,360
4241,Boysenberries Berries,nan,7,360
4242,Cranberries Berries,nan,7,360
4243,Gooseberries Berries,nan,7,360
4244,Raspberries - Black Berries,nan,7,360
4245,Raspberries - Golden Berries,nan,7,360
4246,Pint Strawberries Berries,nan,7,360
4247,Quart Strawberries Berries,nan,7,360
4248,Quart Strawberries Berries,nan,7,360
4249,Bulk 3-pack (3 pints) Strawberries Berries,nan,7,360
4250,Bulk 3-pack (3 pints) Strawberries Berries,nan,7,360
4251,Long-Stemmed Strawberries Berries,nan,7,360
4252,Retailer Assigned Berries,nan,7,360
4253,Retailer Assigned Berries,nan,7,360
4323,Bulk Strawberries Berries,nan,7,360
4783,"Foo Qua Bitter Melon/Bitter Gourd, Foo Qua",,,
3163,Shanghai Bok Choy (Pak Choi),,,
4544,Small/Baby Bok Choy (Pak Choi),,,
4545,Bok Choy (Pak Choi),,,
4546,See Also Sweet Potato Boniato,,,
3419,Borage,,,
4926,Brazilnuts,,,
4254,Breadfruit,,,
3082,Crowns Broccoli,nan,4,450
3277,Baby Broccoli,nan,4,450
4060,Broccoli,nan,4,450
4547,Broccoli Rabe (Italian Rapini)/ Chinese Broccoli (Gai Lan) Broccoli,nan,4,450
4548,Florettes Broccoli,nan,4,450
4549,Retailer Assigned Broccoli,nan,4,450
3083,Stalk Brussels Sprouts,,,
4550,Brussels Sprouts,,,
4551,Retailer Assigned Brussels Sprouts,,,
3050,Dutch White/Winter White Cabbage,nan,30,450
3051,Spring Cabbage/Spring Greens Cabbage,nan,30,450
3166,Tuscan Cabbage,nan,30,450
3396,"Savoy, Red Cabbage",nan,30,450
3397,Summer Cabbage - Pointed Type Cabbage,nan,30,450
4069,Green Cabbage,nan,30,450
4552,Chinese/Napa/Wong Bok Cabbage,nan,30,450
4554,Red Cabbage,nan,30,450
4555,"Savoy, Green Cabbage",nan,30,450
4556,Retailer Assigned Cabbage,nan,30,450
4557,Retailer Assigned Cabbage,nan,30,450
3471,Baby Cactus Leaves (Nopales/Cactus Pads),nan,10,nan
4558,Cactus Leaves (Nopales/Cactus Pads),nan,10,nan
4255,Cactus Pear (Prickly Pear),3,2,330
4256,Carambola (Starfruit),3,6,330
4559,Cardoon (Cardoni),,,
3424,Purple/Red - Beta Sweet Carrots,nan,14,450
4094,Bunch Carrots,nan,14,450
4560,Baby Carrots,nan,14,450
4561,French Carrots,nan,14,450
4562,Loose Carrots,nan,14,450
4563,Carrot Sticks Carrots,nan,14,450
4564,Retailer Assigned Carrots,nan,14,450
4565,Retailer Assigned Carrots,nan,14,450
3105,Cashews,,,
3320,Romanesco/Broccoflower/Caulibroc Cauliflower,nan,7,450
3436,Orange Cauliflower,nan,7,450
4079,Small Cauliflower,nan,7,450
4566,Florettes Cauliflower,nan,7,450
4567,Green Cauliflower,nan,7,450
4568,Purple Cauliflower,nan,7,450
4569,Retailer Assigned Cauliflower,nan,7,450
4570,Retailer Assigned Cauliflower,nan,7,450
4571,Retailer Assigned Cauliflower,nan,7,450
4572,Large Cauliflower,nan,7,450
4573,Baby Cauliflower,nan,7,450
4070,Small Bunch Celery,nan,7,450
4071,Small Bunch Celery,nan,7,450
4575,Hearts Celery,nan,7,450
4576,Celery Sticks Celery,nan,7,450
4577,Retailer Assigned Celery,nan,7,450
4578,Retailer Assigned Celery,nan,7,450
4579,Retailer Assigned Celery,nan,7,450
4580,Retailer Assigned Celery,nan,7,450
4581,Retailer Assigned Celery,nan,7,450
4582,Large Bunch Celery,nan,7,450
4583,Large Bunch Celery,nan,7,450
3321,With Leaves Attached Celery Root/Celeriac,,,
4585,Celery Root/Celeriac,,,
4586,Green Chard (Swiss Chard)/Silverbeet,,,
4587,Red Chard (Swiss Chard)/Silverbeet,,,
4588,Retailer Assigned Chard (Swiss Chard)/Silverbeet,,,
4257,Cherimoya,3,1,330
3357,Small Regular/Red/Black Cherries,nan,7,330
3358,Large Regular/Red/Black Cherries,nan,7,330
3448,Tip Top Cherries,nan,7,330
4045,Regular/Red/Black Cherries,nan,7,330
4258,Golden/Rainier/White Cherries,nan,7,330
4259,Retailer Assigned Cherries,nan,7,330
3084,Chervil,,,
4927,Chestnuts,,,
3398,Chickpeas/Garbanzo Chickpeas,,,
3479,Chipilin Leaf,,,
3462,Garlic/Chinese Chives,,,
4888,Chives,,,
3322,Choy Sum/Pak Choi Sum,,,
3323,Baby Choy Sum/Pak Choi Sum,,,
4889,Cilantro (Chinese Parsley/Coriander),,,
4260,In Husk/Waternut Coconuts,,,
4261,Husked Coconuts,,,
4262,Retailer Assigned Coconuts,,,
3085,"Large Indian, Decorative Corn",nan,2,240
3086,Mini Indian. Decorative Corn,nan,2,240
3087,"Indian, Strawberry Corn",nan,2,240
4077,"Sweet Corn, White Corn",nan,2,240
4078,"Sweet Corn, Yellow Corn",nan,2,240
4589,"Sweet Corn, Baby Corn",nan,2,240
4590,"Sweet Corn, Bi-Color Corn",nan,2,240
4591,Retailer Assigned Corn,nan,2,240
4062,Green/Ridge/Short Cucumber,nan,7,nan
4592,Armenian Cucumber,nan,7,nan
4593,English/Hot House/Long Seedless/Telegraph/Continental Cucumber,nan,7,nan
4594,Japanese/White Cucumber,nan,7,nan
4595,Lemon Cucumber,nan,7,nan
4596,Pickling/Gherkin Cucumber,nan,7,nan
4597,Retailer Assigned Cucumber,nan,7,nan
3088,Red Currants,,,
3305,Black Currants,,,
4598,(See Also Radish) Daikon,,,
3045,"Fresh, On Branch Dates",60,360,720
3046,"Fresh, Frozen Dates",60,360,720
3047,Medjool Dates,60,360,720
4263,Fresh - Regular Dates,60,360,720
4264,Fresh - Retailer Assigned Dates,60,360,720
4862,Dried Dates,60,360,720
4863,Retailer Assigned - Dried Dates,60,360,720
4891,Dill,,,
4892,Baby Dill,,,
4893,Pickling Dill,,,
3089,Chinese Eggplant (Aubergine),,,
3090,Thai Eggplant (Aubergine),,,
4081,Regular Eggplant (Aubergine),,,
4599,Baby Eggplant (Aubergine),,,
4600,Baby White Eggplant (Aubergine),,,
4601,Japanese Eggplant (Aubergine),,,
4602,White Eggplant (Aubergine),,,
4603,Retailer Assigned Eggplant (Aubergine),,,
4604,Endive/Chicory,,,
3473,Epazote,,,
3324,Red Escarole/Batavian Chicory,,,
4605,Green Escarole/Batavian Chicory,,,
4265,Feijoa,2,1,330
4515,Florence/Sweet Fennel/Fennel Bulb Fennel,nan,8,330
3063,Fennel Leaves,,,
4606,Fiddlehead Ferns,,,
3337,(Dried Fruit) Figs,nan,1,330
4266,Black Figs,nan,1,330
4267,Brown Figs,nan,1,330
4268,White/Green Figs,nan,1,330
4269,Retailer Assigned Figs,nan,1,330
4928,Cobnut/Hazelnut Filberts,,,
3170,Retailer Assigned For Use With All Commodities,,,
3171,Retailer Assigned For Use With All Commodities,,,
3172,Retailer Assigned For Use With All Commodities,,,
3173,Retailer Assigned For Use With All Commodities,,,
3174,Retailer Assigned For Use With All Commodities,,,
3175,Retailer Assigned For Use With All Commodities,,,
3176,Retailer Assigned For Use With All Commodities,,,
3177,Retailer Assigned For Use With All Commodities,,,
3178,Retailer Assigned For Use With All Commodities,,,
3179,Retailer Assigned For Use With All Commodities,,,
3180,Retailer Assigned For Use With All Commodities,,,
3181,Retailer Assigned For Use With All Commodities,,,
3182,Retailer Assigned For Use With All Commodities,,,
3183,Retailer Assigned For Use With All Commodities,,,
3184,Retailer Assigned For Use With All Commodities,,,
3185,Retailer Assigned For Use With All Commodities,,,
3186,Retailer Assigned For Use With All Commodities,,,
3187,Retailer Assigned For Use With All Commodities,,,
3188,Retailer Assigned For Use With All Commodities,,,
3189,Retailer Assigned For Use With All Commodities,,,
3190,Retailer Assigned For Use With All Commodities,,,
3191,Retailer Assigned For Use With All Commodities,,,
3192,Retailer Assigned For Use With All Commodities,,,
3193,Retailer Assigned For Use With All Commodities,,,
3194,Retailer Assigned For Use With All Commodities,,,
3195,Retailer Assigned For Use With All Commodities,,,
3196,Retailer Assigned For Use With All Commodities,,,
3197,Retailer Assigned For Use With All Commodities,,,
3198,Retailer Assigned For Use With All Commodities,,,
3199,Retailer Assigned For Use With All Commodities,,,
3200,Retailer Assigned For Use With All Commodities,,,
3201,Retailer Assigned For Use With All Commodities,,,
3202,Retailer Assigned For Use With All Commodities,,,
3203,Retailer Assigned For Use With All Commodities,,,
3204,Retailer Assigned For Use With All Commodities,,,
3205,Retailer Assigned For Use With All Commodities,,,
3206,Retailer Assigned For Use With All Commodities,,,
3207,Retailer Assigned For Use With All Commodities,,,
3208,Retailer Assigned For Use With All Commodities,,,
3209,Retailer Assigned For Use With All Commodities,,,
3210,Retailer Assigned For Use With All Commodities,,,
3211,Retailer Assigned For Use With All Commodities,,,
3212,Retailer Assigned For Use With All Commodities,,,
3213,Retailer Assigned For Use With All Commodities,,,
3214,Retailer Assigned For Use With All Commodities,,,
3215,Retailer Assigned For Use With All Commodities,,,
3216,Retailer Assigned For Use With All Commodities,,,
3217,Retailer Assigned For Use With All Commodities,,,
3218,Retailer Assigned For Use With All Commodities,,,
3219,Retailer Assigned For Use With All Commodities,,,
3220,Retailer Assigned For Use With All Commodities,,,
3221,Retailer Assigned For Use With All Commodities,,,
3222,Retailer Assigned For Use With All Commodities,,,
3223,Retailer Assigned For Use With All Commodities,,,
3224,Retailer Assigned For Use With All Commodities,,,
3225,Retailer Assigned For Use With All Commodities,,,
3226,Retailer Assigned For Use With All Commodities,,,
3227,Retailer Assigned For Use With All Commodities,,,
3228,Retailer Assigned For Use With All Commodities,,,
3229,Retailer Assigned For Use With All Commodities,,,
3230,Retailer Assigned For Use With All Commodities,,,
3231,Retailer Assigned For Use With All Commodities,,,
3232,Retailer Assigned For Use With All Commodities,,,
3233,Retailer Assigned For Use With All Commodities,,,
3234,Retailer Assigned For Use With All Commodities,,,
3235,Retailer Assigned For Use With All Commodities,,,
3236,Retailer Assigned For Use With All Commodities,,,
3237,Retailer Assigned For Use With All Commodities,,,
3238,Retailer Assigned For Use With All Commodities,,,
3239,Retailer Assigned For Use With All Commodities,,,
3240,Retailer Assigned For Use With All Commodities,,,
3241,Retailer Assigned For Use With All Commodities,,,
3242,Retailer Assigned For Use With All Commodities,,,
3243,Retailer Assigned For Use With All Commodities,,,
3244,Retailer Assigned For Use With All Commodities,,,
3245,Retailer Assigned For Use With All Commodities,,,
3246,Retailer Assigned For Use With All Commodities,,,
3247,Retailer Assigned For Use With All Commodities,,,
3248,Retailer Assigned For Use With All Commodities,,,
3249,Retailer Assigned For Use With All Commodities,,,
3250,Retailer Assigned For Use With All Commodities,,,
3251,Retailer Assigned For Use With All Commodities,,,
3252,Retailer Assigned For Use With All Commodities,,,
3253,Retailer Assigned For Use With All Commodities,,,
3254,Retailer Assigned For Use With All Commodities,,,
3255,Retailer Assigned For Use With All Commodities,,,
3256,Retailer Assigned For Use With All Commodities,,,
3257,Retailer Assigned For Use With All Commodities,,,
3258,Retailer Assigned For Use With All Commodities,,,
3259,Retailer Assigned For Use With All Commodities,,,
3260,Retailer Assigned For Use With All Commodities,,,
3261,Retailer Assigned For Use With All Commodities,,,
3262,Retailer Assigned For Use With All Commodities,,,
3263,Retailer Assigned For Use With All Commodities,,,
3264,Retailer Assigned For Use With All Commodities,,,
3265,Retailer Assigned For Use With All Commodities,,,
3266,Retailer Assigned For Use With All Commodities,,,
3267,Retailer Assigned For Use With All Commodities,,,
3268,Retailer Assigned For Use With All Commodities,,,
3269,Retailer Assigned For Use With All Commodities,,,
3270,Retailer Assigned For Use With All Commodities,,,
4460,Retailer Assigned For Use With All Commodities,,,
4461,Retailer Assigned For Use With All Commodities,,,
4462,Retailer Assigned For Use With All Commodities,,,
4463,Retailer Assigned For Use With All Commodities,,,
4464,Retailer Assigned For Use With All Commodities,,,
4465,Retailer Assigned For Use With All Commodities,,,
4466,Retailer Assigned For Use With All Commodities,,,
4467,Retailer Assigned For Use With All Commodities,,,
4468,Retailer Assigned For Use With All Commodities,,,
4469,Retailer Assigned For Use With All Commodities,,,
3167,Frisee,,,
3161,Baby - Chinese Or Indian Mustard Gai (Gui) Choy (Chinese Or Indian Mustard),,,
4607,Chinese Or Indian Mustard Gai (Gui) Choy (Chinese Or Indian Mustard),,,
3160,Synonymous With Chinese Broccoli Gai Lan,,,
3453,Galangal Root,,,
3052,String Garlic,120,6,330
3399,Regular - Fresh/Semi-Dried With Leaves Attached Garlic,120,6,330
3400,Regular - Smoked Garlic,120,6,330
3401,One-Clove Types Garlic,120,6,330
4608,Regular Garlic,120,6,330
4609,Elephant Garlic,120,6,330
4610,Retailer Assigned Garlic,120,6,330
4611,Retailer Assigned Garlic,120,6,330
4612,Regular Ginger Root,nan,35,60
4613,Retailer Assigned Ginger Root,nan,35,60
3091,Gobo Root/Burdock,,,
3135,Ornamental Gourd,,,
3092,Oroblanco/Sweetie Grapefruit,7,21,330
3129,Pummelo - Red Grapefruit,7,21,330
3152,Melogold Grapefruit,7,21,330
3157,Extra-Large White Grapefruit,7,21,330
3158,Extra-Large White Grapefruit,7,21,330
3159,Extra-Large White Grapefruit,7,21,330
3361,Without P/Harvest Treatment Grapefruit,7,21,330
4027,"Small Ruby/Red/Pink (Includes Ray Ruby, Ruby, Ruby Red) Grapefruit",7,21,330
4047,"Small Ruby/Red/Pink (Includes Ray Ruby, Ruby, Ruby Red) Grapefruit",7,21,330
4279,Pummelo - White Grapefruit,7,21,330
4280,"Small Ruby/Red/Pink (Includes Ray Ruby, Ray, Ruby Red) Grapefruit",7,21,330
4281,"Large Ruby/Red/Pink (Ncludes Ray Ruby, Ruby, Ruby Red) Grapefruit",7,21,330
4282,"Large Ruby/Red/Pink (Includes Ray Ruby, Ruby, Ruby Red) Grapefruit",7,21,330
4283,"Large Ruby/Red/Pink (Includes Ray Ruby, Ray, Ruby Red) Grapefruit",7,21,330
4284,Small Deep Red Grapefruit,7,21,330
4285,Small Deep Red Grapefruit,7,21,330
4286,Small Deep Red Grapefruit,7,21,330
4287,Large Deep Red Grapefruit,7,21,330
4288,Large Deep Red Grapefruit,7,21,330
4289,Large Deep Red Grapefruit,7,21,330
4290,Small White Grapefruit,7,21,330
4291,Small White Grapefruit,7,21,330
4292,Small White Grapefruit,7,21,330
4293,Large White Grapefruit,7,21,330
4294,Large White Grapefruit,7,21,330
4295,Large White Grapefruit,7,21,330
4296,Retailer Assigned Grapefruit,7,21,330
4297,Retailer Assigned Grapefruit,7,21,330
4298,Retailer Assigned Grapefruit,7,21,330
